dataset,target_id,Ncryst
training,1V74_B,72
training,1V77_A,117
training,1V7Z_A,215
training,1V84_A,138
training,1V96_A,65
training,1V9M_A,132
training,1VCA_A,87
training,1VD6_A,236
training,1VE4_A,235
training,1VHQ_A,103
training,1VHU_A,174
training,1VIM_A,214
training,1VJ0_A,185
training,1VK1_A,95
training,1VK8_A,67
training,1VKF_A,55
training,1VL1_A,130
training,1VL5_A,183
training,1VL7_A,81
training,1VLY_A,380
training,1VMB_A,91
training,1VPB_A,243
training,1VPM_A,54
training,1VPR_A,185
training,1VPT_A,134
training,1VQS_A,136
training,1VR7_A,72
training,1VR8_A,89
training,1VYB_A,106
training,1VYK_A,70
training,1W1H_A,77
training,1W2W_A,107
training,1W2W_B,148
training,1W4S_A,80
training,1W5Q_A,245
training,1W5R_A,188
training,1W66_A,293
training,1W6S_A,497
training,1W79_A,285
training,1W99_A,381
training,1WB4_A,304
training,1WCW_A,155
training,1WDD_A,247
training,1WHZ_A,93
training,1WKQ_A,223
training,1WL8_A,197
training,1WLY_A,329
training,1WLZ_A,125
training,1WMA_A,254
training,1WMH_A,58
training,1WNA_A,57
training,1WNY_A,150
training,1WP5_A,202
training,1WPU_A,92
training,1WRD_A,104
training,1WTJ_A,246
training,1WVQ_A,113
training,1WWI_A,96
training,1WWZ_A,73
training,1WZ3_A,62
training,1WZA_A,407
training,1WZD_A,232
training,1X3K_A,212
training,1X6I_A,131
training,1X91_A,102
training,1X9D_A,350
training,1X9I_A,319
training,1XD3_A,325
training,1XE7_A,80
training,1XFF_A,88
training,1XG5_A,180
training,1XGK_A,331
training,1XHN_A,183
training,1XKR_A,179
training,1XLQ_A,136
training,1XMK_A,104
training,1XNG_A,91
training,1XQO_A,301
training,1XRK_A,137
training,1XS0_A,51
training,1XSZ_A,281
training,1XT5_A,184
training,1XTE_A,98
training,1XTT_A,163
training,1XU9_A,240
training,1XUB_A,150
training,1XV2_A,108
training,1XW3_A,95
training,1XWV_A,90
training,1Y08_A,184
training,1Y0H_A,122
training,1Y0U_A,104
training,1Y2M_A,465
training,1Y5H_A,42
training,1Y60_A,91
training,1Y6X_A,130
training,1Y9I_A,92
training,1Y9L_A,80
training,1YAR_H,82
training,1YB0_A,91
training,1YC9_A,194
training,1YDG_A,212
training,1YE8_A,207
training,1YHT_A,233
training,1YLX_A,39
training,1YOC_A,160
training,1YOZ_A,56
training,1YQ5_A,120
training,1YQS_A,341
training,1YSQ_A,67
training,1YT3_A,313
training,1YTV_M,5
training,1YW4_A,170
training,1YX1_A,174
training,1Z0W_A,127
training,1Z1S_A,87
training,1Z67_A,91
training,1Z6M_A,177
training,1Z72_A,257
training,1Z9L_A,105
training,1ZAR_A,106
training,1ZE3_H,125
training,1ZHV_A,67
training,1ZJC_A,291
training,1ZL0_A,392
training,1ZLD_A,61
training,1ZO2_A,104
training,1ZPS_A,34
training,1ZQ9_A,326
training,1ZR6_A,329
training,1ZS9_A,198
training,1ZTH_A,93
training,1ZZG_A,218
training,1ZZM_A,224
training,2A15_A,112
training,2A26_A,63
training,2A35_A,184
training,2A4V_A,140
training,2A5L_A,138
training,2A8Y_A,218
training,2ABS_A,314
training,2AGK_A,178
training,2AH5_A,142
training,2AHU_A,203
training,2AKZ_A,278
training,2AML_A,480
training,2AOT_A,92
training,2AP3_A,251
training,2AQ6_A,183
training,2AXO_A,95
training,2AYD_A,89
training,2AZ4_A,277
training,2B4H_A,137
training,2B4V_A,256
training,2B78_A,189
training,2BBE_A,128
training,2BBR_A,228
training,2BD0_A,77
training,2BDR_A,160
training,2BFD_A,262
training,2BFD_B,217
training,2BHU_A,869
training,2BJQ_A,361
training,2BKA_A,182
training,2BKM_A,164
training,2BKY_A,84
training,2BMO_B,255
training,2BRF_A,127
training,2BSY_A,232
training,2BUE_A,190
training,2BW0_A,227
training,2BW3_A,275
training,2BZ1_A,80
training,2BZV_A,158
training,2C0C_A,247
training,2C1D_B,86
training,2C2I_A,184
training,2C2Q_A,125
training,2C31_A,280
training,2C5A_A,370
training,2C5L_C,61
training,2C60_A,94
training,2C8S_A,62
training,2C92_A,100
training,2CB8_A,55
training,2CC6_A,46
training,2CDC_A,315
training,2CDU_A,239
training,2CF7_A,185
training,2CHC_A,76
training,2CJ4_A,163
training,2CKK_A,128
training,2CMG_A,218
training,2CUL_A,169
training,2CVE_A,164
training,2CX1_A,149
training,2CXI_A,194
training,2CXK_A,59
training,2CXY_A,53
training,2CZQ_A,207
training,2CZV_C,47
training,2D1G_A,341
training,2D1L_A,98
training,2D1S_A,772
training,2D28_C,104
training,2D2E_A,168
training,2D3D_A,72
training,2D3Y_A,200
training,2D4P_A,62
training,2DB7_A,44
training,2DC4_A,76
training,2DDR_A,274
training,2DG1_A,263
training,2DKJ_A,512
training,2DPL_A,243
training,2DQL_A,57
training,2DSK_A,287
training,2DT8_A,310
training,2DVM_A,235
training,2DYJ_A,52
training,2E11_A,184
training,2E2O_A,219
training,2E3H_A,67
training,2E4T_A,548
training,2E5Y_A,61
training,2E6M_A,76
training,2E6X_A,66
training,2E7V_A,52
training,2EAQ_A,121
training,2EBE_A,105
training,2EFV_A,42
training,2EGV_A,143
training,2EHP_A,82
training,2EHZ_A,242
training,2EIY_A,263
training,2EJ8_A,74
training,2EJN_A,128
training,2EKL_A,217
training,2END_A,127
training,2EPL_X,350
training,2ERF_A,97
training,2ET1_A,159
training,2ETV_A,192
training,2EV1_A,92
training,2EXT_A,31
training,2F1K_A,144
training,2F1N_A,141
training,2F22_A,162
training,2F23_A,162
training,2F46_A,133
training,2F5G_A,114
training,2F5X_A,289
training,2F7V_A,231
training,2FA1_A,100
training,2FA8_A,35
training,2FAO_A,275
training,2FBN_A,105
training,2FCT_A,289
training,2FEF_A,113
training,2FEX_A,196
training,2FG1_A,192
training,2FGQ_X,207
training,2FHN_X,113
training,2FHP_A,243
training,2FHZ_A,138
training,2FHZ_B,113
training,2FIP_A,57
training,2FKK_A,161
training,2FL4_A,135
training,2FLH_A,120
training,2FNO_A,203
training,2FNU_A,312
training,2FPR_A,147
training,2FQ3_A,63
training,2FT0_A,180
training,2FTR_A,96
training,2FUJ_A,61
training,2FUL_A,150
training,2FY7_A,240
training,2FZP_A,83
training,2G0W_A,234
training,2G3R_A,118
training,2G9W_A,114
training,2G9Z_A,118
training,2GA8_A,138
training,2GAG_B,246
training,2GAG_C,157
training,2GAK_A,182
training,2GCU_A,168
training,2GDQ_A,236
training,2GEN_A,120
training,2GEY_A,130
training,2GF6_A,60
training,2GFQ_A,225
training,2GGC_A,338
training,2GIA_B,93
training,2GIG_A,140
training,2GLZ_A,99
training,2GOM_A,73
training,2GQT_A,298
training,2GT1_A,155
training,2GU3_A,109
training,2GUH_A,132
training,2GXQ_A,229
training,2GYQ_A,137
training,2GZS_A,110
training,2GZV_A,128
training,2H1T_A,148
training,2H1V_A,434
training,2H3L_A,117
training,2H8E_A,119
training,2H8G_A,151
training,2H9A_A,308
training,2HC1_A,343
training,2HCF_A,159
training,2HCM_A,70
training,2HD9_A,180
training,2HDO_A,128
training,2HHC_A,153
training,2HIN_A,72
training,2HKJ_A,251
training,2HLJ_A,115
training,2HLR_A,52
training,2HLY_A,215
training,2HNG_A,47
training,2HOX_A,350
training,2HQ9_A,52
training,2HUE_B,31
training,2HUE_C,34
training,2HUH_A,90
training,2HVW_A,144
training,2HX5_A,82
training,2HXI_A,157
training,2HXT_A,417
training,2HYT_A,134
training,2I0O_A,168
training,2I49_A,409
training,2I5F_A,110
training,2I5H_A,81
training,2I5U_A,45
training,2I74_A,119
training,2I7G_A,114
training,2I8E_A,51
training,2I9I_A,126
training,2I9W_A,74
training,2IA1_A,123
training,2IBD_A,221
training,2IBN_A,170
training,2ID3_A,202
training,2IEW_A,121
training,2IGT_A,142
training,2IHT_A,485
training,2IIH_A,54
training,2IKS_A,149
training,2IM9_A,199
training,2IMF_A,175
training,2IMH_A,208
training,2IMQ_X,142
training,2INW_A,136
training,2IP1_A,168
training,2IRU_A,308
training,2IT2_A,63
training,2IT9_A,44
training,2IU1_A,116
training,2IUW_A,106
training,2IW1_A,480
training,2IWR_A,93
training,2IZR_A,255
training,2J7Q_A,213
training,2J8B_A,114
training,2JAE_A,528
training,2JCB_A,99
training,2JDA_A,155
training,2JDC_A,115
training,2JDI_A,403
training,2JDI_D,437
training,2JDI_G,142
training,2JDI_I,20
training,2JDJ_A,42
training,2JEK_A,129
training,2JEN_A,235
training,2JH3_A,217
training,2JIS_A,458
training,2JLI_A,108
training,2NLR_A,211
training,2NN5_A,127
training,2NNU_A,117
training,2NQW_A,122
training,2NR5_A,33
training,2NR7_A,299
training,2NRK_A,119
training,2NRR_A,106
training,2NSZ_A,145
training,2NW8_A,194
training,2NWF_A,175
training,2NWR_A,175
training,2NX9_A,275
training,2O0Y_A,98
training,2O1K_A,22
training,2O2X_A,242
training,2O30_A,32
training,2O57_A,179
training,2O5F_A,66
training,2O5U_A,94
training,2O62_A,145
training,2O6P_A,76
training,2O7R_A,203
training,2O8Q_A,51
training,2O99_A,98
training,2OA2_A,81
training,2OB3_A,415
training,2OB5_A,86
training,2OCG_A,198
training,2OD6_A,80
training,2ODF_A,263
training,2OEB_A,95
training,2OEE_A,95
training,2OEM_A,306
training,2OH1_A,148
training,2OKT_A,358
training,2OKU_A,86
training,2OLN_A,276
training,2OML_A,135
training,2ONF_A,89
training,2OOC_A,35
training,2OPJ_A,199
training,2OU3_A,135
training,2OU5_A,128
training,2OVJ_A,142
training,2OX6_A,144
training,2OX7_A,61
training,2OXG_B,111
training,2OYN_A,59
training,2OYO_A,161
training,2OZE_A,146
training,2OZN_A,144
training,2OZT_A,221
training,2OZV_A,95
training,2P0A_A,185
training,2P0S_A,80
training,2P2S_A,360
training,2P35_A,109
training,2P39_A,76
training,2P5K_A,84
training,2P5X_A,115
training,2P65_A,136
training,2P6W_A,151
training,2P6Y_A,91
training,2P9H_A,133
training,2P9W_A,322
training,2P9X_A,46
training,2PBL_A,291
training,2PC1_A,125
training,2PD1_A,69
training,2PET_A,152
training,2PGN_A,551
training,2PJZ_A,160
training,2PKF_A,471
training,2PKH_A,68
training,2PLI_A,91
training,2PLN_A,62
training,2PN0_A,83
training,2PNW_A,269
training,2POF_A,159
training,2POK_A,270
training,2PQX_A,183
training,2PRS_A,118
training,2PRV_A,86
training,2PTT_A,102
training,2PU3_A,241
training,2PUZ_A,291
training,2PV2_A,113
training,2PW0_A,453
training,2PXX_A,126
training,2PYQ_A,54
training,2Q0T_A,297
training,2Q35_A,161
training,2Q3V_A,160
training,2Q3X_A,45
training,2Q6M_A,231
training,2Q7S_A,116
training,2QB7_A,322
training,2QCP_X,88
training,2QDE_A,230
training,2QE8_A,284
training,2QEE_A,340
training,2QEU_A,102
training,2QF4_A,181
training,2QFA_B,80
training,2QFE_A,126
training,2QGM_A,179
training,2QGY_A,183
training,2QH9_A,70
training,2QHP_A,170
training,2QHQ_A,120
training,2QIB_A,181
training,2QIW_A,100
training,2QJW_A,191
training,2QKV_A,91
training,2QL8_A,123
training,2QLT_A,219
training,2QNG_A,147
training,2QNI_A,72
training,2QNL_A,184
training,2QPX_A,254
training,2QQ9_A,148
training,2QRL_A,317
training,2QSI_A,76
training,2QSW_A,67
training,2QT1_A,120
training,2QTS_A,183
training,2QVK_A,88
training,2QWU_A,127
training,2QXF_A,428
training,2QZC_A,109
training,2QZT_A,85
training,2R01_A,200
training,2R0X_A,90
training,2R16_A,128
training,2R1I_A,53
training,2R25_A,74
training,2R2A_A,51
training,2R2C_A,66
training,2R2Z_A,96
training,2R3B_A,148
training,2R5O_A,156
training,2RA9_A,132
training,2RAU_A,122
training,2RB7_A,288
training,2RBB_A,79
training,2RBD_A,118
training,2RC8_A,258
training,2RDE_A,119
training,2RDG_A,264
training,2RFF_A,68
training,2RFQ_A,401
training,2RG8_A,173
training,2RGQ_A,102
training,2RH0_A,53
training,2RHW_A,152
training,2RIL_A,87
training,2RL8_A,145
training,2SAK_A,63
training,2SCP_A,131
training,2TPS_A,200
training,2UU8_A,209
training,2UUR_A,78
training,2UVP_A,154
training,2UW1_A,260
training,2UYT_A,286
training,2V0H_A,269
training,2V2F_F,192
training,2V3I_A,587
training,2V3S_A,123
training,2V6K_A,266
training,2V6V_A,193
training,2V78_A,174
training,2V7F_A,177
training,2V7K_A,120
training,2V8F_A,87
training,2VCH_A,400
training,2VCL_A,187
training,2VD8_A,411
training,2VDF_A,113
training,2VGA_A,95
training,2VH3_A,93
training,2VHJ_A,131
training,2VK8_A,437
training,2VKJ_A,65
training,2VO9_A,127
training,2VOV_A,341
training,2VQ2_A,219
training,2VQ8_A,152
training,2VQP_A,126
training,2VRS_A,185
training,2VSM_A,436
training,2VUV_A,144
training,2VW8_A,158
training,2VY8_A,86
training,2VYO_A,117
training,2VZC_A,138
training,2VZY_A,153
training,2W1R_A,70
training,2W1V_A,225
training,2W2K_A,351
training,2W2R_A,120
training,2W31_A,119
training,2W3G_A,126
training,2W3Q_A,146
training,2W3Y_A,128
training,2W3Z_A,254
training,2W5A_A,176
training,2W5E_A,59
training,2W6A_A,79
training,2W6K_A,56
training,2W72_B,174
training,2W8T_A,468
training,2W8X_A,65
training,2WAO_A,358
training,2WB9_A,152
training,2WCW_A,79
training,2WDC_A,407
training,2WDS_A,160
training,2WE5_A,279
training,2WFW_A,127
training,2WI8_A,182
training,2WJ6_A,155
training,2WJ9_A,46
training,2WKB_A,32
training,2WKJ_A,365
training,2WLR_A,439
training,2WLV_A,211
training,2WNY_A,78
training,2WP3_T,117
training,2WPV_B,43
training,2WQF_A,166
training,2WTG_A,181
training,2WWX_B,80
training,2WXU_A,206
training,2WY4_A,132
training,2WYA_A,310
training,2WZ9_A,111
training,2X2S_A,154
training,2X3M_A,169
training,2X4D_A,180
training,2X4L_A,212
training,2X5N_A,234
training,2X5O_A,492
training,2X5X_A,362
training,2X5Y_A,215
training,2X8X_X,127
training,2X9O_A,246
training,2X9Z_A,340
training,2XEP_A,337
training,2XET_A,108
training,2XEV_A,51
training,2XF7_A,45
training,2XG5_B,76
training,2XGR_A,114
training,2XGU_A,81
training,2XHF_A,138
training,2XHG_A,333
training,2XHI_A,242
training,2XIO_A,413
training,2XKI_A,107
training,2XLK_A,122
training,2XMF_A,75
training,2XMZ_A,150
training,2XN6_A,262
training,2XOC_A,153
training,2XOL_A,118
training,2XQQ_A,77
training,2XTS_A,358
training,2XTY_A,151
training,2XVM_A,160
training,2XVY_A,113
training,2XW6_A,121
training,2XWL_A,223
training,2XWS_A,78
training,2XWT_C,156
training,2XZ9_A,192
training,2XZE_A,62
training,2Y0O_A,194
training,2Y7E_A,281
training,2Y7P_A,146
training,2Y8N_B,70
training,2Y8Y_A,198
training,2Y9U_A,76
training,2YC3_A,100
training,2YCD_A,222
training,2YD4_A,231
training,2YEX_A,362
training,2YFA_A,264
training,2YHW_A,165
training,2YIL_A,84
training,2YJG_A,266
training,2YJK_A,55
training,2YLN_A,213
training,2YMM_A,137
training,2YMY_A,31
training,2YN0_A,214
training,2YSK_A,134
training,2YVE_A,148
training,2YVI_A,61
training,2YVR_A,34
training,2YVT_A,277
training,2YWI_A,197
training,2YWL_A,135
training,2YXN_A,274
training,2YXO_A,118
training,2YYO_A,64
training,2YYY_A,193
training,2Z08_A,80
training,2Z0J_A,193
training,2Z10_A,93
training,2Z26_A,347
training,2Z2N_A,159
training,2Z30_B,81
training,2Z3Q_A,57
training,2Z6O_A,112
training,2Z6R_A,198
training,2Z72_A,423
training,2Z84_A,95
training,2Z8X_A,718
training,2ZAD_A,210
training,2ZNR_A,228
training,2ZQ5_A,562
training,2ZS0_C,113
training,2ZSI_B,33
training,2ZUY_A,638
training,2ZVY_A,193
training,2ZWS_A,425
training,2ZY4_A,334
training,2ZYZ_A,80
training,3A09_A,452
training,3A4C_A,73
training,3A4M_A,107
training,3A72_A,484
training,3A99_A,167
training,3A9I_A,153
training,3A9S_A,568
training,3AAF_A,75
training,3ABH_A,169
training,3ACX_A,431
training,3ADO_A,250
training,3ADR_A,107
training,3AEH_A,110
training,3AFN_A,186
training,3AFO_A,153
training,3AGY_A,73
training,3AH7_A,133
training,3ALJ_A,223
training,3AOF_A,416
training,3AQE_A,63
training,3ARX_A,706
training,3B0T_A,264
training,3B0X_A,485
training,3B4Q_A,76
training,3B8B_A,91
training,3B8X_A,275
training,3BA3_A,89
training,3BAM_A,87
training,3BC9_A,400
training,3BCW_A,109
training,3BE6_A,188
training,3BEI_A,19
training,3BEX_A,223
training,3BFO_A,98
training,3BHN_A,69
training,3BHW_A,116
training,3BIY_A,161
training,3BJK_A,53
training,3BJN_A,119
training,3BK5_A,113
training,3BLZ_A,97
training,3BM3_A,156
training,3BMX_A,495
training,3BOF_A,216
training,3BON_A,635
training,3BP3_A,30
training,3BQK_A,147
training,3BQP_A,72
training,3BQX_A,118
training,3BRC_A,44
training,3BS4_A,104
training,3BV8_A,68
training,3BWS_A,272
training,3BWX_A,237
training,3BYP_A,48
training,3BYQ_A,103
training,3BYV_A,151
training,3C0F_B,39
training,3C1A_A,237
training,3C1Q_A,139
training,3C24_A,175
training,3C26_A,84
training,3C2Q_A,130
training,3C5E_A,378
training,3C8W_A,169
training,3CBN_A,125
training,3CC1_A,149
training,3CG4_A,60
training,3CGX_A,100
training,3CI6_A,73
training,3CIM_A,87
training,3CJD_A,73
training,3CK1_A,65
training,3CKC_A,535
training,3CKK_A,119
training,3CKM_A,247
training,3CL6_A,153
training,3CMB_A,216
training,3CNH_A,76
training,3CNV_A,87
training,3CP0_A,29
training,3CP5_A,143
training,3CRN_A,40
training,3CT6_A,91
training,3CU9_A,338
training,3CWR_A,138
training,3CX2_A,145
training,3CXG_A,51
training,3CXK_A,54
training,3CZ1_A,143
training,3CZX_A,185
training,3D01_A,60
training,3D02_A,240
training,3D0K_A,124
training,3D0W_A,33
training,3D33_A,62
training,3D34_A,151
training,3D3B_A,102
training,3D3B_J,48
training,3D4E_A,110
training,3D7J_A,138
training,3D9N_A,85
training,3DA8_A,229
training,3DAL_A,152
training,3DB2_A,127
training,3DC4_A,110
training,3DCD_A,223
training,3DD6_A,128
training,3DDJ_A,108
training,3DFR_A,105
training,3DG6_A,288
training,3DGB_A,220
training,3DGP_B,29
training,3DHU_A,362
training,3DI4_A,276
training,3DJL_A,352
training,3DKR_A,235
training,3DLC_A,274
training,3DM8_A,102
training,3DME_A,256
training,3DML_A,59
training,3DMN_A,91
training,3DQY_A,69
training,3DR2_A,319
training,3DRA_B,145
training,3DS8_A,169
training,3DSK_A,320
training,3DSM_A,313
training,3DSS_B,237
training,3DTZ_A,174
training,3DUP_A,185
training,3DYJ_A,122
training,3DZ1_A,293
training,3E03_A,238
training,3E0X_A,347
training,3E11_A,89
training,3E23_A,251
training,3E3M_A,215
training,3E3U_A,186
training,3E48_A,291
training,3E4V_A,188
training,3E4W_A,123
training,3E8O_A,112
training,3E96_A,226
training,3E99_A,69
training,3E9K_A,488
training,3E9T_A,152
training,3E9V_A,47
training,3EAF_A,195
training,3EBB_A,115
training,3ECF_A,72
training,3ECH_A,90
training,3ED4_A,245
training,3EGW_C,105
training,3EJK_A,79
training,3EJV_A,123
training,3EK3_A,120
training,3EKG_A,209
training,3EKI_A,229
training,3ELF_A,278
training,3ENU_A,121
training,3EO8_A,262
training,3EQX_A,274
training,3ER7_A,151
training,3ES4_A,124
training,3EUA_A,166
training,3EXV_A,177
training,3EYE_A,128
training,3EZI_A,77
training,3F0D_A,139
training,3F0H_A,196
training,3F14_A,74
training,3F1P_B,145
training,3F43_A,49
training,3F5R_A,84
training,3F6Y_A,200
training,3F7X_A,116
training,3F8X_A,107
training,3FB9_A,109
training,3FBK_A,94
training,3FCN_A,205
training,3FDH_A,231
training,3FDX_A,95
training,3FEG_A,276
training,3FFR_A,103
training,3FG8_A,131
training,3FGE_A,73
training,3FGR_A,71
training,3FGV_A,116
training,3FGY_A,123
training,3FH1_A,48
training,3FID_A,170
training,3FK8_A,124
training,3FLA_A,187
training,3FNC_A,123
training,3FOT_A,381
training,3FOV_A,71
training,3FPC_A,337
training,3FPF_A,243
training,3FPW_A,89
training,3FQG_A,153
training,3FR7_A,381
training,3FSO_A,149
training,3FTD_A,190
training,3FXA_A,117
training,3FYB_A,88
training,3FYN_A,76
training,3FZ4_A,107
training,3FZG_A,143
training,3G0K_A,118
training,3G0O_A,252
training,3G0T_A,411
training,3G13_A,76
training,3G2B_A,86
training,3G36_A,66
training,3G48_A,134
training,3G89_A,200
training,3G8Y_A,229
training,3G91_A,275
training,3G9K_F,89
training,3GA3_A,195
training,3GA7_A,362
training,3GAE_A,317
training,3GAX_A,99
training,3GE3_A,445
training,3GF6_A,287
training,3GFA_A,125
training,3GG7_A,94
